"District","School","GrowthStatus","PctPassingEOGTests","PctFreeReduced","HasStringsProgram","SchoolScore","Grade"
"Asheville City Schools","Hall Fletcher Elementary","Met",52.50,78.20,0,58,"C"
"Asheville City Schools","Ira B Jones Elementary","Met",67.90,40.30,0,69,"C"
"Stokes County Schools","Poplar Springs Elementary","Exceeded",67.90,50.20,0,72,"B"
"Macon County Schools","Cartoogechaye Elementary","Met",62.50,67.40,0,67,"C"
"Charlotte-Mecklenburg Schools","Tuckaseegee Elementary","NotMet",39.10,85.00,0,45,"D"
"Asheville City Schools","Isaac Dickson Elementary","Met",79.70,40.90,0,80,"B"
"Cabarrus County Schools","Harold E. Winkler Middle","Exceeded",54.70,49.70,0,62,"C"
"Charlotte-Mecklenburg Schools","Martin Luther King Jr Middle","Met",30.90,91.70,0,40,"D"
"Asheville City Schools","School of Inquiry and Life Sciences","Exceeded",81.90,26.00,0,90,"A"
"Scotland County Schools","Scotland Early College High","Exceeded",82.00,68.70,0,85,"A"
"Nash-Rocky Mount Schools","Spring Hope Elementary","Met",35.00,75.40,0,42,"D"
"Charlotte-Mecklenburg Schools","Mallard Creek Elementary","Exceeded",64.70,48.90,0,70,"B"
"Cabarrus County Schools","R Brown McAllister Elementary","Exceeded",66.20,51.60,0,72,"B"
"Avery County Schools","Avery High STEM Academy","Met",71.40,40.00,0,88,"A"
"Avery County Schools","Avery High Viking Academy","Met",64.80,56.50,0,66,"C"
"Burke County Schools","Salem Elementary","Exceeded",67.10,57.00,0,72,"B"
"Avery County Schools","Avery Middle","Met",52.60,61.80,0,58,"C"
"Rowan-Salisbury Schools","South Rowan High","NotMet",42.30,49.00,0,58,"C"
"Avery County Schools","Banner Elk Elementary","Met",64.50,46.50,0,69,"C"
"Charlotte-Mecklenburg Schools","Olympic High - Intl Study, Global Econ","Exceeded",46.80,63.00,0,66,"C"
"Duplin County Schools","James Kenan High","NotMet",27.40,74.50,0,47,"D"
"Avery County Schools","Crossnore Elementary","Exceeded",74.80,52.50,0,79,"B"
"Buncombe County Schools","North Windy Ridge Intermediate","Met",65.30,53.30,0,68,"C"
"Charter Schools","Gaston College Preparatory","Exceeded",62.30,70.80,0,71,"B"
"Beaufort County Schools","Beaufort Co Early College High","Exceeded",81.90,48.50,0,88,"A"
"Orange County Schools","Charles W Stanford Middle","NotMet",65.40,33.70,0,65,"C"
"Charlotte-Mecklenburg Schools","Sterling Elementary","NotMet",29.40,92.90,0,37,"F"
"Beaufort County Schools","Bath Elementary","NotMet",70.90,35.20,0,70,"B"
"Wake County Schools","Joyner Elementary","NotMet",74.90,25.00,0,73,"B"
"Scotland County Schools","Spring Hill Middle","Exceeded",59.40,74.30,0,65,"C"
"Gaston County Schools","Robinson Elementary","Met",58.30,48.00,0,63,"C"
